# k  (ka/2{\pi}),  {\omega}a/2{\pi}c in ascent
0,1.3598e-06,0.037347,0.038611,0.074731,0.07655,0.11134,0.11258,0.14142,0.15255,0.17496,0.18017,0.19501,0.28112,0.29368,0.2941,0.31077,0.31978,0.32207
0.00625,0.0024856,0.037434,0.038686,0.074773,0.076587,0.11137,0.1126,0.14144,0.15257,0.17498,0.18019,0.19503,0.28113,0.29369,0.29411,0.31076,0.31978,0.32202
0.0125,0.0049708,0.037695,0.03891,0.074898,0.076701,0.11145,0.11268,0.14151,0.15263,0.17503,0.18023,0.19507,0.28115,0.2937,0.29413,0.31071,0.3198,0.32189
0.01875,0.0074556,0.038126,0.03928,0.075106,0.076889,0.11159,0.11281,0.14162,0.15272,0.17511,0.1803,0.19513,0.28118,0.29373,0.29416,0.31062,0.31982,0.32166
0.025,0.0099395,0.038721,0.039793,0.075397,0.077152,0.11178,0.11299,0.14177,0.15284,0.17523,0.1804,0.19523,0.28122,0.29377,0.29421,0.31049,0.31985,0.32137
0.03125,0.012422,0.039473,0.040442,0.075768,0.077489,0.11203,0.11321,0.14197,0.15301,0.17539,0.18053,0.19535,0.28127,0.29382,0.29427,0.31031,0.31989,0.32102
0.0375,0.014904,0.040372,0.041221,0.07622,0.077899,0.11234,0.11349,0.14221,0.15321,0.17558,0.18068,0.19549,0.28134,0.29388,0.29434,0.31007,0.31993,0.32062
0.04375,0.017384,0.041408,0.042123,0.076751,0.07838,0.11269,0.11382,0.14249,0.15344,0.1758,0.18086,0.19566,0.28141,0.29395,0.29443,0.30977,0.31998,0.32021
0.05,0.019862,0.042571,0.043139,0.077359,0.078932,0.1131,0.1142,0.14282,0.15371,0.17605,0.18107,0.19586,0.2815,0.29403,0.29452,0.30938,0.3198,0.32005
0.05625,0.022337,0.04385,0.044262,0.078042,0.079552,0.11357,0.11462,0.14319,0.15402,0.17634,0.18131,0.19609,0.28161,0.29413,0.29463,0.30891,0.3194,0.32011
0.0625,0.024811,0.045235,0.045483,0.078799,0.080239,0.11408,0.1151,0.1436,0.15436,0.17666,0.18157,0.19633,0.28172,0.29423,0.29476,0.30835,0.31904,0.32019
0.06875,0.027282,0.046715,0.046795,0.079626,0.080991,0.11465,0.11562,0.14405,0.15473,0.17701,0.18186,0.19661,0.28184,0.29435,0.29489,0.30769,0.31873,0.32027
0.075,0.029749,0.048189,0.048282,0.080522,0.081807,0.11527,0.11618,0.14454,0.15514,0.1774,0.18217,0.19691,0.28198,0.29447,0.29504,0.30693,0.31847,0.32036
0.08125,0.032214,0.049658,0.049926,0.081485,0.082684,0.11594,0.11679,0.14507,0.15558,0.17781,0.18251,0.19723,0.28213,0.2946,0.29521,0.30607,0.31828,0.32045
0.0875,0.034676,0.051196,0.05164,0.082512,0.08362,0.11665,0.11745,0.14564,0.15605,0.17826,0.18288,0.19758,0.28229,0.29474,0.29538,0.30512,0.31814,0.32055
0.09375,0.037133,0.052795,0.053416,0.083601,0.084614,0.11741,0.11815,0.14624,0.15656,0.17874,0.18327,0.19795,0.28246,0.29489,0.29557,0.3041,0.31805,0.32065
0.1,0.039587,0.054451,0.055246,0.084749,0.085662,0.11822,0.11889,0.14689,0.15709,0.17924,0.18368,0.19835,0.28264,0.29505,0.29577,0.30301,0.31801,0.32076
0.10625,0.042037,0.056157,0.057126,0.085954,0.086764,0.11908,0.11967,0.14757,0.15766,0.17978,0.18412,0.19877,0.28284,0.29521,0.29598,0.30186,0.31801,0.32086
0.1125,0.044483,0.057908,0.059049,0.087213,0.087916,0.11997,0.12049,0.14829,0.15826,0.18034,0.18457,0.19921,0.28304,0.29538,0.2962,0.30067,0.31805,0.32096
0.11875,0.046924,0.0597,0.06101,0.088524,0.089116,0.12091,0.12135,0.14905,0.15889,0.18094,0.18505,0.19967,0.28326,0.29554,0.29644,0.29944,0.31813,0.32106
0.125,0.049361,0.061529,0.063006,0.089884,0.090363,0.1219,0.12225,0.14983,0.15954,0.18156,0.18556,0.20016,0.28349,0.29566,0.29669,0.29823,0.31823,0.32116
